War, war never changes.;The narrator, Fallout series
Hello, 47.;Diana from Agency; Hitman series
Lepiej umrzeć młodo, ale z kupą kasy w kieszeni.;Thomas Angelo, Mafia
Rozumiecie, ważne jest, aby umieć zachować równowagę. Równowaga – to dobre słowo. Bo facet, który chce zbyt dużo od życia ryzykuje, że straci absolutnie wszystko. Natomiast facet który zbyt mało chce, może w ogóle nic nie dostać.;Thomas Angelo, Mafia
No gods or kings. Only man.;Andrew Ryan, Bioshock
Thank You Mario, but the Princess is in another castle.;Toad, Super Mario Bros.
All your base are belong to us.;Cats, Zero Wing
Get over here!;Scorpion, Mortal Kombat
The cake is a lie.;Unknown, Portal
Przed wyruszeniem w drogę należy zebrać drużynę.;Narrator, Baldur's Gate
Would you kindly...;Atlas, Bioshock
A man chooses, a slave obeys;Andrew Ryan, Bioshock
I choose you pikachu!;Ash, Pokemon
It's time to kick ass and chew bubble gum, and I am all out of gum.;Duke, Duke Nukem 3D
Zawsze jest jakiś pierwszy raz.;Don Salieri, Mafia
All we had to do was follow the damn train CJ!;Big Smoke, GTA:San Andreas
Kiepsko celujesz, z panienkami też ci tak słabo idzie?;Rayman 3
I used to be an adventurer like you, then I took an arrow in the knee;Various guards, Skyrim
Well done. Here come the test results: "You are a horrible person." That's what it says: a horrible person. We weren't even testing for that.;GLaDOS, Portal 2
Nothing is true, everything is permitted.;The Creed's maxim, Assassin's Creed series
And remember, respect is everything!;GTA2
Monster kill!;Unreal Tournament
